,name,country,region,Population (millions),revision_id,article_quality
0,Shahjahan Noori,Afghanistan,SOUTH ASIA,41.1,1099689043,GA
1,Abdul Ghafar Lakanwal,Afghanistan,SOUTH ASIA,41.1,943562276,Start
2,Majah Ha Adrif,Afghanistan,SOUTH ASIA,41.1,852404094,Start
3,Haroon al-Afghani,Afghanistan,SOUTH ASIA,41.1,1095102390,B
4,Tayyab Agha,Afghanistan,SOUTH ASIA,41.1,1104998382,Start
5,Ahmadullah Wasiq,Afghanistan,SOUTH ASIA,41.1,1109361754,Start
6,Aziza Ahmadyar,Afghanistan,SOUTH ASIA,41.1,1087211008,Start
7,Muqadasa Ahmadzai,Afghanistan,SOUTH ASIA,41.1,1082489593,Start
8,Mohammad Sarwar Ahmedzai,Afghanistan,SOUTH ASIA,41.1,1038918070,Start
9,Amir Muhammad Akhundzada,Afghanistan,SOUTH ASIA,41.1,1069322182,Start
10,Nasrullah Baryalai Arsalai,Afghanistan,SOUTH ASIA,41.1,1095526840,Start
11,Mohammad Asim Asim,Afghanistan,SOUTH ASIA,41.1,1013838830,Stub
12,Atiqullah Atifmal,Afghanistan,SOUTH ASIA,41.1,1112407669,Start
13,Abdul Rahim Ayoubi,Afghanistan,SOUTH ASIA,41.1,1108886061,Start
14,Alhaj Mutalib Baig,Afghanistan,SOUTH ASIA,41.1,1111494041,Start
15,Ismael Balkhi,Afghanistan,SOUTH ASIA,41.1,1112534409,Start
16,Abdul Baqi Turkistani,Afghanistan,SOUTH ASIA,41.1,889226470,Stub
17,Mohammad Ghous Bashiri,Afghanistan,SOUTH ASIA,41.1,1102150221,Start
18,Abas Basir,Afghanistan,SOUTH ASIA,41.1,1098419766,C
19,Jan Baz,Afghanistan,SOUTH ASIA,41.1,997027082,Stub
20,Ahmad Behzad,Afghanistan,SOUTH ASIA,41.1,1103948295,Start
21,Bashir Ahmad Bezan,Afghanistan,SOUTH ASIA,41.1,1060707209,Start
22,Rafiullah Bidar,Afghanistan,SOUTH ASIA,41.1,977208323,Stub
23,Mohammad Siddiq Chakari,Afghanistan,SOUTH ASIA,41.1,1105913099,Stub
24,Cheragh Ali Cheragh,Afghanistan,SOUTH ASIA,41.1,1087211968,Start
25,Nasir Ahmad Durrani,Afghanistan,SOUTH ASIA,41.1,988838315,Stub
26,Elay Ershad,Afghanistan,SOUTH ASIA,41.1,1102489654,Stub
27,Muhammad Hashim Esmatullahi,Afghanistan,SOUTH ASIA,41.1,949986748,Stub
28,Ezatullah (Nangarhar),Afghanistan,SOUTH ASIA,41.1,947885788,Stub
29,Aimal Faizi,Afghanistan,SOUTH ASIA,41.1,1033383351,Stub
30,Mohammad Nasim Faqiri,Afghanistan,SOUTH ASIA,41.1,1098051193,Start
31,Mohammad Nazar Faqiri,Afghanistan,SOUTH ASIA,41.1,1095525798,Stub
32,Sharif Ghalib,Afghanistan,SOUTH ASIA,41.1,1041460606,B
33,Hashmat Ghani Ahmadzai,Afghanistan,SOUTH ASIA,41.1,1112933356,C
34,Abdul Ghani Ghani,Afghanistan,SOUTH ASIA,41.1,1072441893,Stub
35,Ashraf Ghani,Afghanistan,SOUTH ASIA,41.1,1113195582,B
36,Abdul Samad Ghaus,Afghanistan,SOUTH ASIA,41.1,1072271854,Stub
37,Ghulam Ghaus,Afghanistan,SOUTH ASIA,41.1,1115758710,Stub
38,Ghulam Muhammad Ghobar,Afghanistan,SOUTH ASIA,41.1,1108886395,Stub
39,Mohammad Gul (Helmand Council),Afghanistan,SOUTH ASIA,41.1,1092523687,Stub
40,Ghulam Haider Hamidi,Afghanistan,SOUTH ASIA,41.1,1095018556,Start
41,Rangina Hamidi,Afghanistan,SOUTH ASIA,41.1,1104280812,C
42,Abdul Malik Hamwar,Afghanistan,SOUTH ASIA,41.1,1100874645,Stub
43,Sayed Zafar Hashemi,Afghanistan,SOUTH ASIA,41.1,1112804808,Start
44,Qutbuddin Hilal,Afghanistan,SOUTH ASIA,41.1,1104423275,Start
45,Shahnaz Himmeti,Afghanistan,SOUTH ASIA,41.1,909966254,Stub
46,Anarkali Kaur Honaryar,Afghanistan,SOUTH ASIA,41.1,1069574154,Start
47,Mahboba Hoqomal,Afghanistan,SOUTH ASIA,41.1,1092518990,Stub
48,Musa Hotak,Afghanistan,SOUTH ASIA,41.1,1094201417,Start
49,Mirza Muhammad Ismail,Afghanistan,SOUTH ASIA,41.1,1073524466,C
50,Sayed Jalal,Afghanistan,SOUTH ASIA,41.1,1078580238,Start
51,Said Tayeb Jawad,Afghanistan,SOUTH ASIA,41.1,1093621927,C
52,Faizullah Kakar,Afghanistan,SOUTH ASIA,41.1,1108932917,C
53,Amin Karim,Afghanistan,SOUTH ASIA,41.1,1106333491,C
54,Sayed Jalal Karim,Afghanistan,SOUTH ASIA,41.1,1060701067,Start
55,Ahmed Wali Karzai,Afghanistan,SOUTH ASIA,41.1,1090245979,GA
56,Khadija Zahra Ahmadi,Afghanistan,SOUTH ASIA,41.1,1115331693,Stub
57,Hafizullah Shabaz Khail,Afghanistan,SOUTH ASIA,41.1,1092416288,Start
58,Rouh Gul Khairzad,Afghanistan,SOUTH ASIA,41.1,925562571,Stub
59,Masoud Khalili,Afghanistan,SOUTH ASIA,41.1,1103105365,GA
60,Mohammad Khan (athlete),Afghanistan,SOUTH ASIA,41.1,1070779097,Stub
61,Samoud Khan,Afghanistan,SOUTH ASIA,41.1,1010948755,Start
62,Farzana Kochai,Afghanistan,SOUTH ASIA,41.1,1079430136,Stub
63,Farida Kuchi,Afghanistan,SOUTH ASIA,41.1,1109436134,Start
64,Baran Khan Kudezai,Afghanistan,SOUTH ASIA,41.1,1106151353,Start
65,Azizullah Lodin,Afghanistan,SOUTH ASIA,41.1,1102817004,Start
66,Razaq Mamoon,Afghanistan,SOUTH ASIA,41.1,1100189662,Start
67,Fazel Ahmed Manawi,Afghanistan,SOUTH ASIA,41.1,1106464575,Stub
68,Moeen Marastial,Afghanistan,SOUTH ASIA,41.1,1102907176,Start
